source,target,value
Toimintatulot,Tulot ja Menot,9878630
Myyntitulot,Toimintatulot,1394060
Maksutulot,Toimintatulot,4036708
Tuet ja avustukset,Toimintatulot,1405631
Muut tuotot,Toimintatulot,3042231
Toimintamenot,Henkilöstömenot,40962466
Toimintamenot,Palvelujen ostot,30114430
Toimintamenot,Aineet ja tarvikkeet,4515068
Toimintamenot,Avustukset,4448820
Toimintamenot,Muut toimintamenot,1631293
Tulot ja Menot,Toimintamenot,81672077
Verotulot,Tulot ja Menot,56600000
Valtionosuudet,Tulot ja Menot,19930000
Muut rahoitustulot,Tulot ja Menot,40000
Tulot ja Menot,Korkomenot,1140000
Tulot ja Menot,Muut rahoitusmenot,20000
Tulot ja Menot,Suun.mukaiset poistot,4584000
Poistoeron muutos,Tulot ja Menot,980238
Tilikauden ylijäämä,Tulot ja Menot,12791