id	tax
Askola	20.00
Espoo	17.75
Hanko	20.75
Helsinki	18.50
Hyvinkää	19.25
Inkoo	20.75
Järvenpää	19.00
Karjalohja	19.75
Karkkila	20.25
Kauniainen	16.50
Kerava	18.75
Kirkkonummi	19.00
Lapinjärvi	20.50
Lohja	19.50
Loviisa	19.75
Myrskylä	20.00
Mäntsälä	19.75
Nummi-Pusula	20.50
Nurmijärvi	19.00
Pornainen	19.50
Porvoo	19.25
Pukkila	19.50
Raasepori	21.00
Sipoo	19.25
Siuntio	21.00
Tuusula	18.25
Vantaa	19.00
Vihti	19.50
Aura	20.25
Kaarina	18.50
Kemiönsaari	19.75
KoskiTl	19.00
Kustavi	19.25
Laitila	20.25
Lieto	18.50
Loimaa	20.50
Länsi-Turunmaa	19.25
Marttila	19.25
Masku	18.50
Mynämäki	19.00
Naantali	17.75
Nousiainen	20.00
Oripää	19.00
Paimio	19.75
Pyhäranta	19.50
Pöytyä	20.00
Raisio	18.00
Rusko	18.25
Salo	19.50
Sauvo	19.50
Somero	18.50
Taivassalo	20.00
Tarvasjoki	21.00
Turku	18.75
Uusikaupunki	20.25
Vehmaa	20.50
Eura	20.50
Eurajoki	18.00
Harjavalta	18.75
Honkajoki	20.75
Huittinen	19.75
Jämijärvi	20.50
Kankaanpää	20.50
Karvia	19.75
Kiikoinen	20.00
Kokemäki	19.75
Köyliö	20.00
Lavia	21.00
Luvia	19.75
Merikarvia	19.50
Nakkila	19.75
Pomarkku	19.75
Pori	19.25
Rauma	18.00
Siikainen	20.00
Säkylä	20.00
Ulvila	19.75
Forssa	19.50
Hattula	19.25
Hausjärvi	20.00
Humppila	21.00
Hämeenlinna	19.50
Janakkala	19.75
Jokioinen	20.50
Loppi	20.00
Riihimäki	19.75
Tammela	18.50
Ypäjä	20.25
Akaa	19.75
Hämeenkyrö	20.00
Ikaalinen	20.25
Juupajoki	19.00
Kangasala	20.00
Kihniö	20.50
Lempäälä	20.00
Mänttä-Vilppula	21.00
Nokia	19.75
Orivesi	20.00
Parkano	20.50
Pirkkala	20.00
Punkalaidun	19.75
Pälkäne	20.00
Ruovesi	20.50
Sastamala	20.00
Tampere	19.00
Urjala	21.00
Valkeakoski	18.75
Vesilahti	20.50
Virrat	19.75
Ylöjärvi	19.75
Asikkala	20.00
Hartola	20.50
Heinola	20.50
Hollola	19.75
Hämeenkoski	21.50
Kärkölä	20.75
Lahti	19.50
Nastola	20.50
Orimattila	19.75
Padasjoki	19.75
Sysmä	19.00
Hamina	20.50
Iitti	19.00
Kotka	19.50
Kouvola	20.00
Miehikkälä	19.50
Pyhtää	19.75
Virolahti	20.00
Imatra	19.50
Lappeenranta	19.50
Lemi	19.50
Luumäki	18.00
Parikkala	18.50
Rautjärvi	19.00
Ruokolahti	18.50
Savitaipale	20.00
Suomenniemi	19.50
Taipalsaari	19.75
Enonkoski	19.75
Heinävesi	20.50
Hirvensalmi	19.50
Joroinen	19.50
Juva	19.75
Kangasniemi	19.50
Kerimäki	21.00
Mikkeli	19.50
Mäntyharju	19.75
Pertunmaa	20.00
Pieksämäki	19.75
Punkaharju	20.75
Puumala	21.00
Rantasalmi	20.00
Ristiina	20.00
Savonlinna	20.50
Sulkava	20.50
Iisalmi	19.75
Juankoski	21.50
Kaavi	20.25
Keitele	19.50
Kiuruvesi	19.75
Kuopio	19.50
Lapinlahti	18.50
Leppävirta	19.00
Maaninka	20.50
Nilsiä	20.50
Pielavesi	19.75
Rautalampi	20.50
Rautavaara	20.00
Siilinjärvi	20.25
Sonkajärvi	19.75
Suonenjoki	20.00
Tervo	19.75
Tuusniemi	19.75
Varkaus	20.00
Vesanto	20.00
Vieremä	19.75
Ilomantsi	20.25
Joensuu	19.50
Juuka	20.25
Kesälahti	21.50
Kitee	21.75
Kontiolahti	19.25
Lieksa	20.00
Liperi	20.00
Nurmes	20.00
Outokumpu	21.25
Polvijärvi	19.00
Rääkkylä	21.00
Tohmajärvi	21.50
Valtimo	18.75
Hankasalmi	20.50
Joutsa	19.50
Jyväskylä	19.50
Jämsä	21.00
Kannonkoski	19.50
Karstula	18.50
Keuruu	19.75
Kinnula	20.00
Kivijärvi	20.00
Konnevesi	20.00
Kuhmoinen	19.75
Kyyjärvi	19.50
Laukaa	20.25
Luhanka	19.00
Multia	21.00
Muurame	19.50
Petäjävesi	20.50
Pihtipudas	20.00
Saarijärvi	20.00
Toivakka	20.50
Uurainen	19.50
Viitasaari	20.00
Äänekoski	21.00
Alajärvi	20.50
Alavus	19.75
Evijärvi	21.00
Ilmajoki	19.75
Isojoki	21.00
Jalasjärvi	20.50
Karijoki	20.50
Kauhajoki	21.00
Kauhava	20.25
Kuortane	20.00
Kurikka	18.00
Lappajärvi	21.00
Lapua	20.00
Seinäjoki	19.75
Soini	21.00
Teuva	20.50
Töysä	20.25
Vimpeli	20.50
Ähtäri	20.75
Isokyrö	20.50
Kaskinen	20.00
Korsnäs	19.75
Kristiinankaupunki	20.00
Kruunupyy	19.50
Laihia	19.75
Luoto	19.50
Maalahti	20.25
Mustasaari	19.75
Närpiö	20.00
Pedersören kunta	19.50
Pietarsaari	20.25
Uusikaarlepyy	19.75
Vaasa	19.50
Vähäkyrö	21.00
Vöyri	19.00
Halsua	21.00
Kannus	19.50
Kaustinen	20.50
Kokkola	19.75
Lestijärvi	20.00
Perho	20.50
Toholampi	20.50
Veteli	21.00
Alavieska	21.50
Haapajärvi	21.00
Haapavesi	20.75
Hailuoto	19.25
Haukipudas	19.75
Ii	20.50
Kalajoki	19.50
Kempele	19.50
Kiiminki	20.00
Kuusamo	19.50
Kärsämäki	20.75
Liminka	19.50
Lumijoki	20.50
Merijärvi	20.50
Muhos	20.00
Nivala	21.00
Oulainen	21.00
Oulu	19.00
Oulunsalo	20.50
Pudasjärvi	20.50
Pyhäjoki	19.75
Pyhäjärvi	19.75
Pyhäntä	19.75
Raahe	20.00
Reisjärvi	21.00
Sievi	21.25
Siikajoki	21.00
Siikalatva	21.75
Taivalkoski	19.75
Tyrnävä	20.50
Utajärvi	19.50
Vihanti	21.50
Yli-Ii	20.00
Ylivieska	21.00
Hyrynsalmi	20.25
Kajaani	20.00
Kuhmo	20.25
Paltamo	20.50
Puolanka	20.00
Ristijärvi	19.75
Sotkamo	19.75
Suomussalmi	19.50
Vaala	21.00
Enontekiö	20.75
Inari	19.00
Kemi	20.75
Kemijärvi	20.00
Keminmaa	20.50
Kittilä	19.00
Kolari	20.00
Muonio	20.50
Pelkosenniemi	19.75
Pello	20.25
Posio	20.50
Ranua	19.25
Rovaniemi	20.00
Salla	19.50
Savukoski	20.25
Simo	20.75
Sodankylä	19.50
Tervola	19.50
Tornio	20.00
Utsjoki	20.75
Ylitornio	19.25
Brändö	17.00
Eckerö	18.00
Finström	19.50
Föglö	17.25
Geta	17.50
Hammarland	16.50
Jomala	17.00
Kumlinge	18.50
Kökar	19.50
Lemland	16.25
Lumparland	18.50
Maarianhamina	16.50
Saltvik	16.25
Sottunga	18.00
Sund	19.00
Vårdö	18.00